Model,Technique,Accuracy,Balanced_Accuracy,Precision_class_0,Precision_class_1,Recall_class_0,Recall_class_1,Precision,Recall,F1_macro,F1_weighted,ROC_AUC,PR_AUC
Logistic Regression,None,0.8807743070831501,0.7453159542521244,0.8993424380374304,0.7567567567567568,0.961081081081081,0.5295508274231678,0.7567567567567568,0.5295508274231678,0.7761374873574154,0.8722229067580738,0.9044942815155581,0.7258656064531307
Random Forest,None,0.8820941487021557,0.7178621174365856,0.8873653281096964,0.8354978354978355,0.9794594594594594,0.4562647754137116,0.8354978354978355,0.4562647754137116,0.7606774344613432,0.8676951313246165,0.9039205162609417,0.7513830053840428
Logistic Regression,SMOTE,0.8680158380994281,0.7921838860136732,0.9239606126914661,0.6382022471910113,0.912972972972973,0.6713947990543735,0.6382022471910113,0.6713947990543735,0.7864059058344172,0.8692937160423678,0.8988703597214236,0.7121276577772597
Logistic Regression,Class Weight,0.8688957325120985,0.805489106127404,0.9306326304106548,0.6326963906581741,0.9064864864864864,0.7044917257683215,0.6326963906581741,0.7044917257683215,0.792533771449434,0.8715537268057955,0.9020267075586224,0.7165903752556076
Logistic Regression,Random Oversampling,0.8688957325120985,0.7954597150341831,0.9254385964912281,0.6391982182628062,0.9124324324324324,0.6784869976359338,0.6391982182628062,0.6784869976359338,0.7885731872368691,0.8703863721817315,0.9001073413839372,0.7122469501588311
Logistic Regression,Random Undersampling,0.809062912450506,0.7988205226503099,0.9425,0.4918276374442793,0.8151351351351351,0.7825059101654847,0.4918276374442793,0.7825059101654847,0.7391087485454353,0.8239214859222711,0.8890396779758482,0.6878332804660959
Logistic Regression,Balanced Mini-Batch,0.8103827540695117,0.7877784167145869,0.9355432780847146,0.4937888198757764,0.8237837837837838,0.75177304964539,0.4937888198757764,0.75177304964539,0.7360887779481817,0.8239971559955597,0.8659727812919302,0.6422243942613634
Logistic Regression,Threshold Moving,0.8772547294324681,0.7695949140629992,0.9110413396127682,0.6988950276243094,0.9410810810810811,0.5981087470449172,0.6988950276243094,0.5981087470449172,0.7852017944814107,0.8734810540077272,0.9044942815155581,0.7258656064531307
Random Forest,Class Weight,0.8878134623845139,0.7742578748961728,0.9112944816915935,0.7514970059880239,0.9551351351351351,0.5933806146572104,0.7514970059880239,0.5933806146572104,0.7979219551277023,0.8825361905204926,0.9118535556833429,0.7559906268110458
Random Forest,SMOTE,0.8930928288605368,0.7747658296594466,0.9105774144098109,0.7848101265822784,0.9632432432432433,0.5862884160756501,0.7848101265822784,0.5862884160756501,0.8036737396712061,0.8868556433694949,0.9126330585905053,0.7632118241342168
Random Forest,Random Oversampling,0.8904531456225253,0.7904677017442975,0.9184526921066388,0.7416666666666667,0.9497297297297297,0.6312056737588653,0.7416666666666667,0.6312056737588653,0.8079108643038743,0.8869631028553607,0.913985687815475,0.7663710740867318
Random Forest,Random Undersampling,0.8328200615926089,0.8106798287649352,0.9427710843373494,0.5350734094616639,0.845945945945946,0.7754137115839244,0.5350734094616639,0.7754137115839244,0.7624712624712624,0.843625455152072,0.8995565778544502,0.7171643333187337
Random Forest,Balanced Mini-Batch,0.8574571051473823,0.6844917257683215,0.876604146100691,0.7004048582995951,0.96,0.408983451536643,0.7004048582995951,0.408983451536643,0.7164132895892057,0.8419713212807329,0.8514829723340361,0.6239890022594066
Random Forest,Threshold Moving,0.8798944126704795,0.7903635550444061,0.9205333333333333,0.6884422110552764,0.932972972972973,0.6477541371158393,0.6884422110552764,0.6477541371158393,0.7970950469635164,0.8784688037567921,0.9039205162609417,0.7513830053840428
Logistic Regression,SMOTE+Threshold,0.8658161020677518,0.8008619257555427,0.928928373126041,0.625,0.9043243243243243,0.6973995271867612,0.625,0.6973995271867612,0.7878395602949524,0.8685888528274522,0.8988703597214236,0.7121276577772597
Random Forest,SMOTE+Threshold,0.8895732512098549,0.7798977701105361,0.9136057941024315,0.7529411764705882,0.9545945945945946,0.6052009456264775,0.7529411764705882,0.6052009456264775,0.8023429642648408,0.8847784738479766,0.9126330585905053,0.7632118241342168
